Title,Genre,Rating
1. Gangster Alla Prankster,action,9.9
1. Gangster Alla Prankster,action,9.9
2. Suttaa Thale Enakku,action,9.8
2. Suttaa Thale Enakku,action,9.8
3. Shastra,action,9.8
3. Shastra,action,9.8
4. Man vs. Train: The Movie,action,9.8
4. Man vs. Train: The Movie,action,9.8
5. Azotes de Barrio 2,action,9.8
5. Azotes de Barrio 2,action,9.8
6. The Treasure of Pancho Villa,action,9.8
6. The Treasure of Pancho Villa,action,9.8
7. Midnight Mayhem,action,9.8
7. Midnight Mayhem,action,9.8
8. One Way,action,9.8
8. One Way,action,9.8
9. Tujhko Pukare,action,9.8
9. Tujhko Pukare,action,9.8
10. Ballia Kaand,action,9.8
10. Ballia Kaand,action,9.8
1. Marathon After Midnight,comedy,10.0
1. Marathon After Midnight,comedy,10.0
2. Gant Kalver,comedy,10.0
2. Gant Kalver,comedy,10.0
3. From the mind of Elrico Tunstall (What the Heart Wants),comedy,10.0
3. From the mind of Elrico Tunstall (What the Heart Wants),comedy,10.0
4. QAnon Avenue,comedy,10.0
4. QAnon Avenue,comedy,10.0
5. Borderline Forever,comedy,9.9
5. Borderline Forever,comedy,9.9
6. Gangster Alla Prankster,comedy,9.9
6. Gangster Alla Prankster,comedy,9.9
"7. La Máquina, El Delfín Y Un Enano De Jardín",comedy,9.9
"7. La Máquina, El Delfín Y Un Enano De Jardín",comedy,9.9
8. Now! More! Yes!,comedy,9.9
8. Now! More! Yes!,comedy,9.9
9. Suttaa Thale Enakku,comedy,9.8
9. Suttaa Thale Enakku,comedy,9.8
10. Man vs. Train: The Movie,comedy,9.8
10. Man vs. Train: The Movie,comedy,9.8
1. His Story of Itihaas,drama,10.0
1. His Story of Itihaas,drama,10.0
2. Southern Village,drama,10.0
2. Southern Village,drama,10.0
3. Karma Bums,drama,10.0
3. Karma Bums,drama,10.0
4. Regal vs. Rebel,drama,10.0
4. Regal vs. Rebel,drama,10.0
5. Through the Pain,drama,10.0
5. Through the Pain,drama,10.0
6. Sacred the Movie,drama,10.0
6. Sacred the Movie,drama,10.0
7. NAWE ZAKHMONA,drama,10.0
7. NAWE ZAKHMONA,drama,10.0
8. Saybrook: The Tully Girls,drama,10.0
8. Saybrook: The Tully Girls,drama,10.0
9. Vaama: Ladhai Sanmanachi,drama,9.9
9. Vaama: Ladhai Sanmanachi,drama,9.9
10. Fly,drama,9.9
10. Fly,drama,9.9
1. Ishq,romance,10.0
1. Ishq,romance,10.0
2. Regal vs. Rebel,romance,10.0
2. Regal vs. Rebel,romance,10.0
3. The Night Before Easter,romance,9.9
3. The Night Before Easter,romance,9.9
4. O Andala Rakshasi,romance,9.8
4. O Andala Rakshasi,romance,9.8
5. A Ghetto Love Story,romance,9.8
5. A Ghetto Love Story,romance,9.8
6. Nan shen youxi,romance,9.8
6. Nan shen youxi,romance,9.8
7. Sundays After Church Episode 1 Queen or Concubine,romance,9.8
7. Sundays After Church Episode 1 Queen or Concubine,romance,9.8
8. Get Over It,romance,9.7
8. Get Over It,romance,9.7
9. Tahanan (Home),romance,9.7
9. Tahanan (Home),romance,9.7
10. Prem Prakaran,romance,9.6
10. Prem Prakaran,romance,9.6
1. Karma Bums,thriller,10.0
1. Karma Bums,thriller,10.0
2. Bhram,thriller,9.9
2. Bhram,thriller,9.9
3. La casa italiana,thriller,9.9
3. La casa italiana,thriller,9.9
4. Sync,thriller,9.8
4. Sync,thriller,9.8
5. Shastra,thriller,9.8
5. Shastra,thriller,9.8
6. Envious and Jealousy,thriller,9.8
6. Envious and Jealousy,thriller,9.8
7. O Andala Rakshasi,thriller,9.8
7. O Andala Rakshasi,thriller,9.8
8. Either Way,thriller,9.8
8. Either Way,thriller,9.8
9. The Door (Qapi),thriller,9.8
9. The Door (Qapi),thriller,9.8
10. Plot Number 302,thriller,9.8
10. Plot Number 302,thriller,9.8
